DateTime,Title_Text
2022-02-22,"“2년반만에 열리는 BTS 콘서트” 소식에 하이브 ‘강세’ 하이브, 지난해 영업익 1903억…전년비 30.8% ↑ 하이브, 4Q 영업익 739억원..전년동기比 36.8%↑ 하이브, 4분기 영업익 739억…전년비 36.8% ↑ 하이브, 2021년 영업익 1903억원…전년比 31%↑ 하이브, 작년 매출 1조원 돌파… 영업익 1900억원(종합) 코로나도 이긴 BTS…하이브, 작년 가요계 첫 매출 1조원 돌파(종합) 'BTS 효과' 하이브, 작년 매출 1조원 첫 돌파 하이브, 연매출 1조2,577억원 '창사 이래 최대' '코로나 이긴 BTS'...하이브, 작년 매출 첫 1조원 돌파 하이브, 가요계 최초 연매출 1조 돌파…""BTS 올해도 해외공연""(종합2보) BTS 소속 하이브, 지난해 매출 1조2577억…'1조' 첫 돌파 하이브, 2021년 매출 1조 2577억원으로 58% 증가 하이브, 엔터 첫 '매출 1조 클럽' 하이브, BTS 인기 업고 연매출 1조원 돌파… 가요계 최초"
2022-02-23,"하이브, 4Q 호실적에 리오프닝 'BTS 국내 콘'까지-NH 하이브, BTS 컴백 등 2분기 투자 모멘텀 주목-하나 ""하이브 목표가 14%↓…올해 BTS 월드투어 호재""-KB [클릭 e종목] BTS 덕 본 하이브, 올해 2Q 기업가치 상승 이벤트 가시화 하이브, 2분기 모멘텀 집중…여전히 '최선호주'-하나 하이브, 탄탄한 실적...리오프닝과 신사업 기대감-삼성證 하이브, 플랫폼 역량·오프라인 콘서트 등 견고함 재확인-하나금투 하이브, BTS 콘서트 등 리오프닝 수혜 전망-NH투자증권 하이브, 엔터사업 기반으로 고성장 신사업 빠르게 확장-현대차證 NH증권 “하이브, 리오프닝 수혜주…목표가 47만원” ""역대 최대실적 세운 '하이브', 리오프닝 실적개선 이제 시작"" ""역시 방탄소년단이다"" 다시 날아가는 하이브 주가...5%대 강세 [특징주]하이브, 호실적에 강세…""NFT 신사업은 지켜봐야"" [특징주] 하이브, 4분기 어닝서프라이즈에 5%대 상승 [특징주] 하이브, 오프라인 콘서트 재개 수혜 기대감에 4%대 강세 [특징주] 하이브, 리오프닝 기대감에 4%대 '강세' [특징주] '연 매출 1조원대' 하이브, 호실적에 5%대 강세 [특징주] 하이브, 연매출 1조원 돌파에 4%대 강세 [특징주] 하이브, 창사 이래 최대실적에 주가 4% ↑ [주식초고수는 지금] 고수들은 실적주 삼매경…하이브·HMM 매수 1·3위 하이브, 사상 최대 실적·리오프닝 기대에 강세…증권가 “2분기에 모멘텀 몰렸다” [특징주] 하이브, 연매출 1조원 돌파에 약 3% 상승(종합) 'BTS' 효과 '1조 클럽' 입성…하이브, 주가 기지개 켤까"
2022-02-24,"[특징주] 하이브, 호실적 효과 지속..이달 20%상승 'BTS가 온다'…리오프닝·신사업 모멘텀에 하이브 '러브콜' 쏟아져 K팝 호황에 하이브·SM·YG 사상 최대 실적 '축포'"
2022-02-25,"네이버웹툰-하이브 협업, 누적 조회 7000만회 기록"
2022-02-26,"[종목현미경] '연매출 1조원대' 하이브, BTS에 신사업 업고 주가 날아오를까"
2022-02-27,"첫 배당하는 SM엔터, 사상 최대 실적 낸 하이브 배당금은?"
2022-03-01,"""하이브, 2022년 최대 실적 자명…목표주가 33만원"""
2022-03-02,"'하이브·LX인터 등' 지난해 상호변경 상장사 122곳…전년比 28.4%↑ 대림서 DL, 빅히트서 하이브...상호변경 상장사 28% 늘었다 [단독] 'K-컬처' 이끄는 CJ, 'BTS' 하이브 뛰어 넘는 팬덤 플랫폼 시동"
2022-03-03,"하이브 민희진, 美 버라이어티 ‘글로벌 영향력 있는 여성’ 선정"
2022-03-04,"'BTS 하이브 투자 대박' 스틱인베, 비결은?…""이것 가장 먼저 본다"""
2022-03-09,"BTS 콘서트, TXT·엔하이픈 첫 투어…“하이브 모멘텀 가시화”"
2022-03-10,"하이브, 美 패스트 컴퍼니 ‘2022 세계 50대 혁신 기업’ 선정 [특징주] 하이브, 美 패스트 컴퍼니 '2022 세계 50대 혁신 기업' 선정에↑ [특징주] '세계 50대 혁신기업' 뽑힌 하이브, 장 초반 4%대 강세 하이브, 미 경제매체 선정 '2022년 세계에서 가장 혁신적 50대 기업' 이름 올려 하이브, 이미경 환경재단 대표·조백규 국민대 교수 사외이사 후보 추천 하이브, 사외이사 후보로 이미경·조백규 씨 추천"
2022-03-11,"[단독] SM 새 주인은 카카오...""하이브와 2강 체제 구축"" [특징주] SM C&C, 카카오 SM 인수… 하이브와 2강 체제 구축 소식에 강세 카카오, SM 지분 인수 임박…하이브 이어 업계 2위 넘보나"
2022-03-14,"하이브, BTS 서울 콘서트 성료… 전 세계 극장 생중계로 매출 400억원 극장 생중계로만 400억 번 BTS 서울 콘서트...하이브 주가 반등할까"
2022-03-16,"하이브, 2년6개월 만의 BTS 서울 콘서트…목표주가 46만원 -이베스트 하이브, BTS 콘서트로 돈방석…3일간 834억-이베스트 이베스트투자證 ""하이브, BTS 콘서트 재개로 매출 확대"" 하이브, 상장 이후 첫 주주서한 발송… “팬 중심 가치 구현” 하이브 “모든 미래 사업전략은 팬을 지향” 주주서한 발송 하이브(HYBE), 상장 후 첫 주주서한 발송…'팬 중심 글로벌전략 확대' 시사 하이브, 올해 3팀 론칭…첫 주주서한 발송"
2022-03-21,제2의 BTS 찾는다? 하이브 美서 합동 오디션 개최
2022-03-22,"디에이건설, 25일 '서울대입구역 더하이브 센트럴' 오픈 예정 디에이건설, 25일 ‘서울대입구역 더하이브 센트럴’ 선보여 강효원 빅히트뮤직 수석 프로듀서, 작년 보수 400억원… 박지원 하이브 CEO는 5억원 지난해 400억원 번 BTS 작곡가…하이브 '연봉킹'"
2022-03-23,"디에이건설, 25일 ‘서울대입구역 더하이브 센트럴’ 분양 예정 디에이건설, ‘서울대입구역 더하이브 센트럴’ 오픈 예정 ""BTS 군대 안가나?""…하이브, 5% 급등하며 100일만에 30만원대 회복 ""전문대가 일자리 창출""…하이브 사업에 3년간 1350억 [엔터Biz-D] 하이브, 2.94%↑…이틀 연속 초강세"
2022-03-24,"NH證 ""엔터산업, 엔데믹 전환에 수익 극대화…하이브 최선호"" '리오프닝에 실적까지 좋네'…하이브·SM·YG·JYP 엔터주 '기대감' 가득"
2022-03-25,"카카오 4형제·엔씨소프트·하이브 등 1546개 상장사, 다음주 정기주총"
2022-03-29,"'서울대입구역 더하이브 센트럴', 내달 4일~7일 청약접수 디에이건설, 다음달 4일부터 '서울대입구역 더하이브 센트럴' 청약접수 아파트 임차권 양도 가능한 ‘대구 호반써밋 하이브파크’ [엔터Biz-D] 하이브, 1.01%↑…주총 하루 앞두고 강보합세"
2022-03-30,"하이브, 라스베이거스를 ‘BTS 도시’로 꾸민다… 공연과 연계 프로젝트 하이브(HYBE), 4월 美 라스베이거스서 '더 시티' 프로젝트 추진…'2주간 BTS시티 변신' '호반써밋 하이브파크' 선착순 동호지정 계약…10년 거주 후 확정 분양가 네이버 케이크-하이브 에듀 합병…""글로벌 K팝 팬 겨냥"" ""BTS·블랙핑크와 언어 공부""…네이버 '케이크', 하이브에듀 인수 네이버 스노우 ‘케이크’, 하이브 에듀 인수 “에듀테크 강화” “NFT사업, 하이브와 함께 美 진출… 두나무, 글로벌 거래 플랫폼 될 것”"
2022-03-31,"하이브 상장 당일 시총 8조…韓엔터계에 떨어진 '다이너마이트' [K팝 세계화 리포트] 美타임, BTS·방시혁 표지모델로…하이브 ‘영향력 있는 100대 기업’ 선정 삼성물산 패션 준지, 하이브 인사이트·퓨추라 '3자협업' 상품 출시 네이버 영어 교육앱 '케이크', 하이브 에듀와 합병 준지, 하이브 인사이트와 퓨추라 3자 협업 상품 출시 ‘사상 최고가’ JYP Ent., 하이브SM·YG와 차별점은? 하이브, 美 타임 '글로벌 영향력 100대 기업' 2년연속 선정…'팝 파워하우스 리딩기업' 부각 삼성물산 패션 준지, 하이브 인사이트·퓨추라와 협업 상품 출시 하이브·더핑크퐁컴퍼니, 타임誌 '세계에서 가장 영향력 있는 100대 기업' 포함돼 프리미엄 장기일반민간임대앞파트 ‘호반써밋 하이브파크’, 임차권 양도 가능해 BTS 못지않은 영향력…핑크퐁, 하이브와 美타임 '100대 기업' 선정"
2022-04-01,"[클릭 e 종목] 하이브, 콘서트가 다시 열린다 하이브, 회복 가장 빠른 리오프닝주…신사업 가속화도-현대차 하이브, K-POP 오프라인 공연 재개 주도 긍정적-현대차證 확정분양가로 안심 거주할 수 있는 ‘호반써밋 하이브파크‘ 안철수 방문 하이브 ‘강세’…“BTS 군면제 논의 가능성” BTS 군 면제 본격 논의하나…하이브 주가 4% 넘게 뛰었다 [특징주] 'BTS 군면제 논의하나' 하이브 급등…SM·JYP는 신고가 [엔터Biz-D] 하이브, 4.36%↑…BTS 軍면제 논의 기대에 급등세 [특징주] ‘BTS 현역 복무 면제’ 논의 가능성…하이브 급등 하이브, 인수위 방문 앞두고 ‘들썩’…‘BTS 군 면제’ 논의 기대감"
2022-04-02,'BTS 병역특례' 가능할까… 안철수 방문 소식에 하이브 주가 '급등'
2022-04-04,"'르세라핌' 등 올해 데뷔 그룹만 '3개'…하이브, 목표주가 42만원 -유안타證 하이브, 오프라인 공연 재개로 실적 상승 전망-유안타증권 [특징주] BTS 병역특례법 생기나…하이브, 장 초반 강세 새 정부서 BTS 병역특례 다시 수면 위로…하이브 '강세' 예스비 하이브센터, 힐스엔지니어링과 MOU 통해 물류로봇 도입 BTS 그래미 `불발`에 하이브 `뚝`…병역특례 `촉각` [증시프리즘]"
2022-04-05,“하이브 위버스만 켜면 ‘BTS시티’ 된 라스베이거스 한눈에!”
2022-04-07,"하이브, 금리인상에 BTS 입대 리스크…목표가↓-IBK 하이브, 신인 걸그룹 흥행 가능성 높다-IBK투자증권 [클릭 e종목]""하이브, 리오프닝 수혜에도 금리인상으로 성장주 매력도 ↓"" 하이브, 양질 성장 기대에도 목표주가 50만→42만-IBK ""하이브, 성장주 매력도 하락·대표 IP 부재 리스크에 목표가↓""-IBK 성장주 매력 하락…눈높이 낮아지는 하이브 IBK투자증권 “하이브, 금리 인상·BTS 입대 리스크…목표가 50만원→42만원” ""하이브, 금리 인상·BTS 입대 리스크에 목표가↓"""
2022-04-08,"하이브, 엔터업종 최선호주…2분기 본업·신사업 활발-한국 [엔터Biz-D] 하이브, 일주일 만에 12.23%↓…5거래일 연속 하락"
2022-04-09,[주말n입사지원]하이브·포스코스틸리온 등
2022-04-10,"'초미의 관심' 방탄소년단 병역문제, 하이브 공식입장은? 김태호 하이브 COO “‘더 시티’ 프로젝트, 전 세계로 확장할 것” 하이브(HYBE), ""라스베이거스 BTS시티 이어 글로벌 K팝아티스트 시티 거듭할 것""[종합] 'BTS 병역' 입 연 하이브…""조속히 결론 나길"" 리오프닝 수혜 vs BTS 병역문제...'하이브'에 엇갈리는 시장 전망 BTS 군 복무 입장 밝힌 하이브… 이진형 CCO “병역법 개정안 조속히 결론 나야”"
2022-04-11,"하이브, BTS 라스베이거스 공연 후 6일 만의 반등 [특징주] ""리오프닝 섹터 중 수요 회복세 가장 빠르다""…하이브, 상승세 문화, 생활, 교육 등 인프라 풍부한 대구 ‘호반써밋 하이브파크’ 돈방석 앉은 하이브…쉽지 않은 `탈BTS`"
2022-04-12,"하이브는 내년이 두렵다…이익 67% 안겨주는 BTS 입대 해법은 대구 장기일반민간임대 '호반써밋 하이브파크' 선착순 동호지정 계약 [엔터Biz-D] 하이브, 0.53%↑…일주일 만에 상승 전환 [단독] BTS 매출 의존도 낮춘다…하이브, 게임사업 본격 육성"
2022-04-13,"‘BTS 병역 특례’ 결론 날까…엔터 대장주 하이브 주가 주춤 하이브, BTS 라스베이거스 콘서트…실적 개선 주도-이베스트 하이브, 리오프닝株로 부각…BTS 오프라인 콘서트 본격화-이베스트 하이브, BTS 라스베가스 콘서트 성황리…대표 '리오프닝株' 부각 ‘호반써밋 하이브파크’, 주거만족도 기대 [특징주] 하이브, 게임사업 분사… 본격 육성 기대감에 4%↑ [특징주] BTS 병역특례 논의 급물살…하이브 6%대 급등 [특징주] BTS 軍 면제 논의 급물살…하이브, 6%대 급등 BTS '병역특례' 논의 재점화…하이브 6%대 급등 BTS 병역특례 받을까… 하이브 ‘활짝’ [3분 국내주식]"
