,Adjusted_Prediction_Date_Copy,Open,High,Low,Close,Volume,Pre_market_volume,Intraday_volume,After_market_volume,After_hour_volume,trading_value,search_frequency,Institution_Total,Other_Corporations,Individual,Foreign_Total,SMA5,SMA20,MA50,RSI,MACD,Signal_Line,Bollinger_Middle,Bollinger_Upper,Bollinger_Lower,Momentum,VROC,Volatility,Stochastic %K,Stochastic %D,BB_width,Close_Open_diff,KOSPI_Open,KOSPI_Close,NASDAQ_Open,NASDAQ_Close,WTI_Oil_Price,cpi,interest_rate,Exchange_Rate,Average_Sentiment_Score,Recommendation,Lag_0_Sentiment_Score,Lag_1_Sentiment_Score,Lag_2_Sentiment_Score,Lag_3_Sentiment_Score,Lag_4_Sentiment_Score,Lag_5_Sentiment_Score,Lag_6_Sentiment_Score,Lag_7_Sentiment_Score,Target
2022-01-18,2022-01-18,280000,284500,276500,277500,151095,64,"149,054",516,"1,461","42,288",5.3354,-3281.0,2859.0,25096.0,-24674.0,286000.0,318725.0,347870.0,12.558139534883722,-17763.139231737587,-13713.158049247326,318725.0,374545.6479435889,262904.3520564111,-11500.0,-27.723378505723485,27910.323971794467,1.1428571428571428,4.571428571428581,111641.29588717781,-2500,2898.98,2864.24,14681.830078125,14506.900390625,85.43000030517578,105.16258064516128,1.277,1192.3,1.8571428571428568,1.0,1.8571428571428568,2.0,2.0,2.25,3.5,3.5,2.0,2.571428571428572,0
2022-01-19,2022-01-19,273000,276500,267000,274500,268812,8,"266,907",337,"1,560","73,035",5.83814,-12404.0,-905.0,9636.0,3673.0,281500.0,315600.0,345580.0,13.235294117647058,-18404.461330824473,-14651.418705562755,315600.0,374048.8980581373,257151.10194186273,-22500.0,20.31743047815987,29224.44902906863,8.02139037433155,4.388082505729574,116897.79611627455,1500,2840.34,2842.28,14582.2197265625,14340.259765625,86.95999908447266,105.18096774193548,1.276,1188.9,2.0,1.0,2.0,1.8571428571428568,2.0,2.0,2.25,3.5,3.5,2.0,1
2022-01-20,2022-01-20,275500,289000,275000,288000,263490,34,"261,270",554,"1,632","74,733",6.81445,55336.0,-2049.0,-1170.0,-52117.0,280800.0,312950.0,343640.0,23.47826086956522,-17620.261136880377,-15245.18719182628,312950.0,371355.92976384284,254544.07023615716,-3500.0,47.11482091510567,29202.964881921427,22.459893048128343,10.541380188439021,116811.85952768568,12500,2842.28,2862.68,14462.849609375,14154.01953125,86.9000015258789,105.19935483870968,1.33,1191.8,2.0,1.0,2.0,2.0,1.8571428571428568,2.0,2.0,2.25,3.5,3.5,0
2022-01-21,,286000,293500,281000,285000,249274,143,"247,644",872,615,"71,760",6.19332,-8423.0,-2294.0,38977.0,-28260.0,281000.0,310150.0,341560.0,21.88841201716737,-17044.374818127777,-15605.02471708658,310150.0,368262.50431615155,252037.49568384842,1000.0,-11.820410415686498,29056.252158075786,21.301775147928996,17.261019523462974,116225.00863230313,-1000,2837.49,2834.29,14046.2197265625,13768.919921875,85.13999938964844,105.21774193548387,1.575,1190.4,2.0,1.0,2.0,2.0,2.0,1.8571428571428568,2.0,2.0,2.25,3.5,0
2022-01-24,2022-01-24,283500,285000,275000,277000,192988,5,"191,423",508,"1,052","53,820",5.24875,-2732.0,-2453.0,7585.0,-2400.0,280400.0,306975.0,339170.0,22.86995515695068,-17037.12058186147,-15891.443890041559,306975.0,365044.35508510494,248905.6449148951,-3000.0,35.35988328867816,29034.677542552457,14.492753623188406,19.418140606415257,116138.71017020984,-6500,2823.76,2792.0,13481.5,13855.1298828125,83.30999755859375,105.27290322580644,1.352,1193.6,1.5,1.0,1.5,2.0,2.0,2.0,1.8571428571428568,2.0,2.0,2.25,0
2022-01-25,2022-01-25,280000,281500,269000,271000,180016,112,"177,730",785,"1,389","49,265",4.97336,16086.0,3297.0,6241.0,-25624.0,279100.0,303475.0,336450.0,27.127659574468083,-17315.91432174557,-16176.337976382361,303475.0,361347.3413621468,245602.65863785322,-6500.0,19.140937820576458,28936.170681073385,9.63855421686747,15.144360995994965,115744.68272429355,-9000,2786.41,2720.39,13610.8701171875,13539.2900390625,85.5999984741211,105.29129032258065,1.314,1194.2,1.0,1.0,1.0,1.5,2.0,2.0,2.0,1.8571428571428568,2.0,2.0,0
2022-01-26,,271500,272500,251000,251500,430078,2,"424,718",805,"4,553","110,635",7.95205,-70371.0,-1567.0,29504.0,42434.0,274500.0,298150.0,333200.0,26.0204081632653,-18892.565664141963,-16719.58351393428,298150.0,354476.211529475,241823.788470525,-23000.0,59.99211344731634,28163.1057647375,0.8849557522123894,8.338754530756097,112652.42305895,-20000,2729.75,2709.24,13871.76953125,13542.1201171875,87.3499984741211,105.30967741935484,1.261,1197.8,1.0,1.0,1.0,1.0,1.5,2.0,2.0,2.0,1.8571428571428568,2.0,0
2022-01-27,2022-01-27,250000,255000,241500,241500,309387,53,"305,720",503,"3,111","76,057",6.64458,-59375.0,396.0,-28775.0,87754.0,265200.0,292750.0,329750.0,20.673076923076934,-20710.2547140065,-17517.717753948727,292750.0,349056.0247313965,236443.97526860348,-46500.0,17.41887737675054,28153.012365698265,0.0,3.5078366563599617,112612.04946279305,-8500,2709.24,2614.49,13710.990234375,13352.7802734375,86.61000061035156,105.32806451612903,1.201,1197.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.5,2.0,2.0,2.0,1.8571428571428568,0
2022-01-28,2022-01-28,244500,244500,229500,237000,408005,117,"405,313",869,"1,706","96,291",6.99462,-76513.0,-2844.0,25614.0,53743.0,255600.0,287150.0,326240.0,21.182266009852214,-22257.330126703717,-18465.640228499724,287150.0,342163.96951779857,232136.03048220143,-48000.0,63.67731893418487,27506.984758899293,10.273972602739725,3.7196427849840465,110027.93903559714,-7500,2617.87,2663.34,13436.7099609375,13770.5703125,86.81999969482422,105.34645161290322,1.277,1202.4,3.0,1.0,3.0,0.6666666666666666,1.0,1.0,1.5,2.0,2.0,2.0,1
2022-02-03,2022-02-03,244500,247000,237500,238000,207469,35,"205,047",543,"1,844","50,142",5.67514,8192.0,3765.0,13273.0,-25230.0,247800.0,281525.0,322990.0,23.4375,-23136.009380222007,-19399.71405884418,281525.0,332091.76149825164,230958.23850174836,-39000.0,7.503575351835347,25283.380749125816,11.643835616438356,7.305936073059368,101133.52299650328,-6500,2706.34,2707.82,14045.830078125,13878.8203125,90.2699966430664,105.46857142857144,1.223,1205.7,2.0,1.0,2.0,3.0,0.6666666666666666,1.0,1.0,1.5,2.0,2.0,1
