,Date,Institution_Total,Other_Corporations,Individual,Foreign_Total
142,2024/03/29,42561,2030,-45835,1244
143,2024/03/28,43342,-8315,-70329,35302
144,2024/03/27,103425,4676,-156431,48330
145,2024/03/26,72741,5600,-67243,-11098
146,2024/03/25,83724,-1552,-163837,81665
147,2024/03/22,-7241,1282,28498,-22539
148,2024/03/21,13170,-991,-7081,-5098
149,2024/03/20,-1957,526,4748,-3317
150,2024/03/19,-67053,-524,75054,-7477
151,2024/03/18,-16618,-1535,25214,-7061
152,2024/03/15,-9684,130,13252,-3698
153,2024/03/14,-7492,811,23576,-16895
154,2024/03/13,-8084,-1012,14777,-5681
155,2024/03/12,58873,739,-51261,-8351
156,2024/03/11,84937,3688,-109521,20896
157,2024/03/08,92465,2457,-85670,-9252
158,2024/03/07,-52822,2861,47621,2340
159,2024/03/06,-39025,-858,51428,-11545
160,2024/03/05,-96509,2111,117015,-22617
161,2024/03/04,-77112,2017,162010,-86915
162,2024/02/29,-46570,2277,68789,-24496
163,2024/02/28,-12346,-866,25061,-11849
164,2024/02/27,-115678,-2502,250616,-132436
165,2024/02/26,18530,975,3380,-22885
166,2024/02/23,24854,-1830,-1885,-21139
167,2024/02/22,88848,-923,-73182,-14743
168,2024/02/21,24324,220,-39420,14876
169,2024/02/20,-29800,1164,21337,7299
170,2024/02/19,-65448,2383,78900,-15835
171,2024/02/16,-63904,2259,45374,16271
172,2024/02/15,4061,-119,-5359,1417
173,2024/02/14,70342,-1048,-100832,31538
174,2024/02/13,17096,1281,-1839,-16538
175,2024/02/08,-15824,982,-5938,20780
176,2024/02/07,-36375,709,30819,4847
177,2024/02/06,-52878,-1736,51702,2912
178,2024/02/05,-71447,565,92742,-21860
179,2024/02/02,12599,2055,-4106,-10548
180,2024/02/01,-72199,-3028,48668,26559
181,2024/01/31,-27346,-25,15681,11690
182,2024/01/30,-25401,493,19707,5201
183,2024/01/29,-133977,2518,98586,32873
184,2024/01/26,-16397,966,2339,13092
185,2024/01/25,-26571,-2078,1852,26797
186,2024/01/24,5563,1139,13084,-19786
187,2024/01/23,7587,3141,-2937,-7791
188,2024/01/22,-27329,-5156,36089,-3604
189,2024/01/19,-21971,-1029,13913,9087
190,2024/01/18,-27953,3190,21631,3132
191,2024/01/17,-25805,-1876,4427,23254
192,2024/01/16,-67332,-5136,21930,50538
193,2024/01/15,-49654,-8816,17665,40805
194,2024/01/12,-18637,-1320,22552,-2595
195,2024/01/11,25022,906,-79247,53319
196,2024/01/10,30080,-271,-8408,-21401
197,2024/01/09,-15528,704,-4616,19440
198,2024/01/08,2643,1908,2429,-6980
199,2024/01/05,26715,1412,-52530,24403
200,2024/01/04,10620,43,-6986,-3677
201,2024/01/03,-8426,1975,7714,-1263
202,2024/01/02,55602,3676,-56318,-2960
203,2023/12/28,9895,-464,-3773,-5658
204,2023/12/28,9895,-464,-3773,-5658
205,2023/12/27,14788,1075,-10384,-5479
206,2023/12/26,1134,-1421,-12877,13164
207,2023/12/22,20415,1002,-11128,-10289
208,2023/12/21,-5385,214,-7732,12903
209,2023/12/20,-16838,-2624,42540,-23078
210,2023/12/19,-7741,328,40708,-33295
211,2023/12/18,30719,285,-23192,-7812
212,2023/12/15,95,675,-36922,36152
