,Date,Institution_Total,Other_Corporations,Individual,Foreign_Total
619,2022/04/25,-21565,106,15844,5615
620,2022/04/22,-57219,1949,49408,5862
621,2022/04/21,-61344,-1347,27270,35421
622,2022/04/20,-139937,-4908,129120,15725
623,2022/04/19,-28193,-163,28200,156
624,2022/04/18,-60964,-2283,79287,-16040
625,2022/04/15,-10298,-165,15582,-5119
626,2022/04/14,16660,1452,3069,-21181
627,2022/04/13,67897,800,-68225,-472
628,2022/04/12,-24834,1990,31481,-8637
629,2022/04/11,-17178,484,71579,-54885
630,2022/04/08,-59518,1980,75049,-17511
631,2022/04/07,-62141,1467,23037,37637
632,2022/04/06,-42793,-1443,35401,8835
633,2022/04/05,-9176,282,4937,3957
634,2022/04/04,-3538,1894,39093,-37449
635,2022/04/01,32791,-2637,-25483,-4671
636,2022/03/31,18786,393,-12248,-6931
637,2022/03/30,15313,-996,-90996,76679
638,2022/03/29,19809,-923,-11233,-7653
639,2022/03/28,1895,-284,16476,-18087
640,2022/03/25,3359,-99,-20574,17314
641,2022/03/24,-468,815,5738,-6085
642,2022/03/23,37508,-55,-52384,14931
643,2022/03/22,21516,838,-40580,18226
644,2022/03/21,-12312,3369,8870,73
645,2022/03/18,-10965,142,-30675,41498
646,2022/03/17,7304,-95,-67639,60430
647,2022/03/16,-20100,-1648,28496,-6748
648,2022/03/15,-40967,-1765,47737,-5005
649,2022/03/14,-8397,-3440,-16220,28057
650,2022/03/11,-7060,2153,14058,-9151
651,2022/03/10,53332,-135,-67361,14164
652,2022/03/08,4326,-544,6479,-10261
653,2022/03/07,-19102,-31,4456,14677
654,2022/03/04,-33001,-618,16462,17157
655,2022/03/03,-74505,164,80409,-6068
656,2022/03/02,-8090,1502,-10998,17586
657,2022/02/28,-4363,-805,-12714,17882
658,2022/02/25,31824,1737,7107,-40668
659,2022/02/24,54657,929,-12366,-43220
660,2022/02/23,59267,1321,25999,-86587
661,2022/02/22,90429,5264,50648,-146341
662,2022/02/21,79991,3717,-16845,-66863
663,2022/02/18,11796,464,39578,-51838
664,2022/02/17,64869,1633,19129,-85631
665,2022/02/16,30383,533,-51801,20885
666,2022/02/15,-44541,163,85648,-41270
667,2022/02/14,962,-519,-34339,33896
668,2022/02/11,-41774,427,5171,36176
669,2022/02/10,-40500,212,35939,4349
670,2022/02/09,3178,2638,49968,-55784
671,2022/02/08,27272,-923,-19676,-6673
672,2022/02/07,-12067,-464,112486,-99955
673,2022/02/04,58440,1527,16822,-76789
674,2022/02/03,8192,3765,13273,-25230
675,2022/01/28,-76513,-2844,25614,53743
676,2022/01/27,-59375,396,-28775,87754
677,2022/01/26,-70371,-1567,29504,42434
678,2022/01/25,16086,3297,6241,-25624
679,2022/01/24,-2732,-2453,7585,-2400
680,2022/01/21,-8423,-2294,38977,-28260
681,2022/01/20,55336,-2049,-1170,-52117
682,2022/01/19,-12404,-905,9636,3673
683,2022/01/18,-3281,2859,25096,-24674
684,2022/01/17,1158,543,17956,-19657
685,2022/01/14,-44723,-870,40941,4652
686,2022/01/13,-31181,270,32923,-2012
687,2022/01/12,10277,-1247,12496,-21526
688,2022/01/11,-39052,1213,40675,-2836
689,2022/01/10,-36882,-1718,19468,19132
690,2022/01/07,-20942,161,35960,-15179
691,2022/01/06,-145213,-2717,103379,44551
692,2022/01/05,-193929,-609,176022,18516
693,2022/01/04,-47624,530,91755,-44661
694,2022/01/03,-15902,522,27045,-11665
