,Adjusted_Prediction_Date,Average_Sentiment_Score,Recommendation
194,2023-01-03,3.5,1
195,2023-01-04,2.0,1
196,2023-01-05,2.0,1
197,2023-01-09,2.6666666666666665,1
198,2023-01-10,4.0,1
199,2023-01-11,1.6666666666666667,1
200,2023-01-12,1.5,1
201,2023-01-13,2.0,1
202,2023-01-16,1.0,1
203,2023-01-17,2.2857142857142856,1
204,2023-01-19,3.5,1
205,2023-01-20,2.25,1
206,2023-01-23,1.75,1
207,2023-01-24,2.0,1
208,2023-01-25,3.0,1
209,2023-01-26,2.6666666666666665,1
210,2023-01-27,4.0,1
211,2023-01-30,2.0,1
212,2023-01-31,2.142857142857143,1
213,2023-02-03,2.0,1
214,2023-02-06,0.5,1
215,2023-02-07,-1.0,0
216,2023-02-08,2.0,1
217,2023-02-09,1.5,1
218,2023-02-10,1.3150684931506849,1
219,2023-02-13,1.375,1
220,2023-02-14,1.1081081081081081,1
221,2023-02-15,0.8367346938775511,1
222,2023-02-16,0.65625,1
223,2023-02-17,0.2222222222222222,1
224,2023-02-20,-0.3875,0
225,2023-02-21,0.8421052631578947,1
226,2023-02-22,1.6363636363636365,1
227,2023-02-23,0.5238095238095238,1
228,2023-02-24,-0.02631578947368421,0
229,2023-02-27,0.5,1
230,2023-02-28,-0.7090909090909091,0
231,2023-03-01,-0.0967741935483871,0
232,2023-03-02,0.35,1
233,2023-03-03,0.4782608695652174,1
234,2023-03-06,0.375,1
235,2023-03-07,0.34285714285714286,1
236,2023-03-08,0.8,1
237,2023-03-09,0.9166666666666666,1
238,2023-03-10,0.8333333333333334,1
239,2023-03-13,0.6759776536312849,1
240,2023-03-14,-0.1111111111111111,0
241,2023-03-15,0.5333333333333333,1
242,2023-03-16,0.5,1
243,2023-03-17,0.8,1
244,2023-03-20,1.6666666666666667,1
245,2023-03-21,1.0,1
246,2023-03-22,1.5,1
247,2023-03-23,2.0,1
248,2023-03-24,0.7037037037037037,1
249,2023-03-27,-0.16279069767441862,0
250,2023-03-28,-0.5,0
251,2023-03-29,1.0,1
252,2023-03-30,0.5,1
253,2023-03-31,0.5,1
254,2023-04-04,1.0,1
255,2023-04-06,3.3333333333333335,1
256,2023-04-07,2.0,1
257,2023-04-10,1.5,1
258,2023-04-11,2.0,1
259,2023-04-13,3.2,1
260,2023-04-14,3.3333333333333335,1
261,2023-04-17,2.32,1
262,2023-04-18,2.142857142857143,1
263,2023-04-19,2.0,1
264,2023-04-20,1.0,1
265,2023-04-24,2.4444444444444446,1
266,2023-04-25,1.0,1
267,2023-04-26,1.0,1
268,2023-04-27,3.5,1
269,2023-04-28,2.0,1
270,2023-05-01,-0.3333333333333333,0
271,2023-05-02,2.5625,1
272,2023-05-03,3.2857142857142856,1
273,2023-05-04,3.0,1
274,2023-05-05,3.0,1
275,2023-05-08,1.0,1
276,2023-05-09,2.0,1
277,2023-05-10,1.0,1
278,2023-05-12,1.0,1
279,2023-05-15,2.0,1
280,2023-05-16,2.8333333333333335,1
281,2023-05-17,2.0,1
282,2023-05-19,1.5714285714285714,1
283,2023-05-22,1.0,1
284,2023-05-23,2.3333333333333335,1
285,2023-05-24,2.0,1
286,2023-05-29,0.0,0
287,2023-05-30,3.0,1
288,2023-05-31,-1.3888888888888888,0
289,2023-06-01,-1.411764705882353,0
290,2023-06-02,-1.0,0
291,2023-06-05,0.5454545454545454,1
292,2023-06-08,2.0,1
293,2023-06-09,3.4,1
294,2023-06-12,1.875,1
