,datetime,Pre_market_volume,Intraday_volume,After_market_volume,After_hour_volume,trading_value,search_frequency
666,2022-02-22,752,"540,160","1,125","10,568","153,302",8.69416
667,2022-02-21,149,"474,863",201,"3,127","129,275",7.4536
668,2022-02-18,63,"231,833",980,"1,256","61,046",5.20071
669,2022-02-17,2,"465,474",503,"2,460","122,902",6.55193
670,2022-02-16,0,"305,046",351,"3,813","77,953",6.07578
671,2022-02-15,13,"293,704","1,005","4,363","72,216",5.63739
672,2022-02-14,10,"165,325",651,"1,932","41,959",4.18493
673,2022-02-11,16,"182,314",541,"1,980","46,764",4.30589
674,2022-02-10,0,"203,071",196,837,"52,553",4.76145
675,2022-02-09,4,"177,020",99,"1,041","46,080",5.49755
676,2022-02-08,21,"350,823",327,"1,365","91,958",6.33059
677,2022-02-07,381,"329,181",388,"1,003","83,222",5.8613
678,2022-02-04,827,"347,335","1,714","3,371","88,312",6.36576
679,2022-02-03,35,"205,047",543,"1,844","50,142",5.67514
680,2022-01-28,117,"405,313",869,"1,706","96,291",6.99462
681,2022-01-27,53,"305,720",503,"3,111","76,057",6.64458
682,2022-01-26,2,"424,718",805,"4,553","110,635",7.95205
683,2022-01-25,112,"177,730",785,"1,389","49,265",4.97336
684,2022-01-24,5,"191,423",508,"1,052","53,820",5.24875
685,2022-01-21,143,"247,644",872,615,"71,760",6.19332
686,2022-01-20,34,"261,270",554,"1,632","74,733",6.81445
687,2022-01-19,8,"266,907",337,"1,560","73,035",5.83814
688,2022-01-18,64,"149,054",516,"1,461","42,288",5.3354
689,2022-01-17,183,"140,197",370,"1,824","40,137",4.92789
690,2022-01-14,9,"280,275",919,"1,486","79,539",5.87589
691,2022-01-13,1,"178,101",401,602,"52,288",5.59363
692,2022-01-12,3,"221,327",200,"1,889","66,405",6.14956
693,2022-01-11,137,"206,678",601,"1,635","60,939",6.06034
694,2022-01-10,140,"273,897",291,"1,562","80,738",6.65574
695,2022-01-07,21,"220,405",470,"2,212","67,735",6.57938
696,2022-01-06,417,"455,316",551,"3,694","138,826",8.1468
697,2022-01-05,135,"496,801","1,256","2,121","159,299",7.48363
698,2022-01-04,3,"220,464",507,"2,274","75,843",5.29765
699,2022-01-03,0,"178,956",345,365,"63,554",5.19213
700,2021-12-30,16,"141,917",437,631,"50,039",5.19213
701,2021-12-29,6,"333,218",331,676,"118,058",5.19213
702,2021-12-28,0,"482,584","1,281","1,955","172,682",5.19213
703,2021-12-27,46,"151,982",710,656,"52,192",5.19213
704,2021-12-24,0,"125,009",158,726,"43,048",5.19213
705,2021-12-23,25,"152,625",267,609,"52,600",5.19213
706,2021-12-22,0,"195,809",622,556,"66,859",5.19213
707,2021-12-21,41,"185,849",388,513,"61,987",5.19213
708,2021-12-20,66,"139,884",798,"1,235","46,697",5.19213
709,2021-12-17,14,"106,639","1,191",779,"35,990",5.19213
710,2021-12-16,0,"107,349",264,702,"36,113",5.19213
711,2021-12-15,53,"117,143",327,794,"39,442",5.19213
712,2021-12-14,21,"206,348",550,"1,073","69,034",5.19213
713,2021-12-13,75,"267,204",933,"3,539","92,463",5.19213
714,2021-12-10,30,"194,974",522,"1,101","68,922",5.19213
715,2021-12-09,0,"537,848","1,023","2,264","191,811",5.19213
716,2021-12-08,0,"389,467",203,"2,629","133,747",5.19213
